Gene	LogFC	FDR	Region
Dach1	Dach1	-0.85558415	5.75e-06	NAc
Fosb	Fosb	-0.381477339	0.0826527	NAc
Meis2	Meis2	-0.490899915	0.000927933	NAc
Meis1	Meis1	-0.168363976	0.249222654	NAc
Gli1	Gli1	-0.013961486	0.988455421	NAc
Klf5	Klf5	-0.280400394	0.12616738	NAc
Tox	Tox	0.22623415	0.114524625	NAc
Tshz2	Tshz2	0.915808905	4.21e-11	NAc
Egr2	Egr2	-1.066486307	9.97e-07	NAc
Egr4	Egr4	-0.64408392	2.86e-06	NAc
Rxrg	Rxrg	-0.420497638	1.87e-05	NAc
Fos	Fos	0.31716299	0.155822875	NAc
Fosl2	Fosl2	-0.172416759	0.595181913	NAc
Foxc1	Foxc1	0.691111817	0.036036276	NAc
Dbp	Dbp	0.364259675	7.3e-06	NAc
Hes5	Hes5	0.27271072	0.160595828	NAc
Id1	Id1	0.27676039	0.244387892	NAc
Id4	Id4	-0.033348795	0.859287564	NAc
Klf4	Klf4	0.052037905	0.935534157	NAc
Nfkb2	Nfkb2	0.26321041	0.38738212	NAc
Nr2f2	Nr2f2	0.372865014	0.112582531	NAc
Ovol2	Ovol2	NA	NA	NAc
Plagl1	Plagl1	0.548995516	0.008717841	NAc
Sox11	Sox11	0.567279669	7.1e-06	NAc
Sox18	Sox18	0.176474782	0.593254597	NAc
Neurod1	Neurod1	1.145660675	0.000188926	NAc
Prdm8	Prdm8	1.647953881	1.5e-11	NAc
Prox1	Prox1	0.105016917	0.614207443	NAc
Lhx9	Lhx9	NA	NA	NAc
Grhl1	Grhl1	0.300586539	0.368472738	NAc
Nhlh2	Nhlh2	NA	NA	NAc
Shox2	Shox2	NA	NA	NAc
St18	St18	0.206157213	0.191975929	NAc
Ar	Ar	0.155749935	0.481836501	NAc
Bhlhe22	Bhlhe22	0.242631496	0.742644185	NAc
Camta2	Camta2	0.006958702	0.984564487	NAc
Cebpa	Cebpa	0.07944062	0.749276184	NAc
Cebpb	Cebpb	0.18945984	0.515987502	NAc
Cebpd	Cebpd	0.217783704	0.573745734	NAc
Cpeb1	Cpeb1	0.140863304	0.361485139	NAc
Creb3l1	Creb3l1	0.345878103	0.337459419	NAc
Emx1	Emx1	0.757462757	0.041748218	NAc
Foxo6	Foxo6	-0.339354692	0.157326872	NAc
Glis3	Glis3	0.296882151	0.097871969	NAc
Hes1	Hes1	-0.247646129	0.43779578	NAc
Ikzf3	Ikzf3	NA	NA	NAc
Lhx2	Lhx2	0.11312983	0.526911523	NAc
Msx1	Msx1	NA	NA	NAc
Mycl	Mycl	-0.008033969	0.994511207	NAc
