Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0009986~cell surface	52	5.8690744920993225	1.969208647857744E-6	CLSTN2, CD80, HHIP, PKD2L1, PLAT, VLDLR, AREG, TNN, KDR, RSPO2, ENPP1, ADAMTS9, ADAMTS7, KCNH2, CD53, PDGFRA, GHSR, CD93, SLC11A1, BGN, ADAM10, F3, TMPRSS11D, VCAN, CD226, VAMP4, CD44, KCNE1, SDC4, HPN, LPAR1, SLC1A3, PDGFA, CXCR4, PTN, ACVR1C, EGFLAM, SLITRK6, MPZL1, CORIN, NTSR2, TGFB3, WNT7B, LRFN3, MAS1, AXL, PLXNB3, SDC1, CNTN2, FAS, TEK, RAMP1	772	612	18520	2.0383351959091063	9.113289889166598E-4	6.092752095426511E-4	6.053274220078175E-4
UP_KEYWORDS	Disulfide bond	135	15.237020316027088	2.518883700433404E-6	GALNT15, CD80, HHIP, PLAT, F11R, SLC4A5, TXN2, TNN, ENPP2, KDR, ENPP1, FAM3C, PLXNC1, PTGDS, TECTB, GHSR, PDGFRA, ST6GAL2, SEMA6A, CD93, UNC5B, SLC6A13, ADAM10, UNC5C, NPNT, PGF, AZGP1, MAG, COL4A3, DPEP3, CALCRL, CFH, IGSF1, HPN, LPAR1, PDGFA, TNFRSF11B, ADAMTS12, CES5A, FBLN2, ADAMTS10, KLK6, C6, PLXNA1, B4GALNT1, ICOS, WNT2, NTSR2, TXNDC5, CPA4, OPN4, JAG1, LRRN3, TGFB3, REG4, RAB27A, IGF1, BMP7, CP, SYT6, LRFN3, IL6, BPIFB1, PLXNB3, CNTN2, CNTN3, CD200, FGFR1, CXCL6, WFIKKN2, GRIK3, CXCL1, VLDLR, AREG, HAPLN1, PTPRF, LMNB1, LFNG, ADAMTS1, BDKRB2, LOC100911486, ADAMTS9, CTSC, ADAMTS7, SFTPB, GPR37, BGN, F3, TMPRSS11D, ADAMTS20, PTP4A1, SLCO1C1, VCAN, COL2A1, MMP19, SGK1, MATN4, CD44, TMPRSS5, SEMA3D, CXCR4, PTN, DLL3, DLL4, GLRA1, LMAN1, P2RY6, EGFLAM, RELN, S1PR1, LRIG3, CORIN, MPZL1, ANGPT1, IFNB1, WNT7B, SEMA4B, VEGFC, MERTK, GLRA4, MUC5B, USH2A, HTR5B, PRSS40, KISS1, SLC4A9, AXL, SMOC1, PLP1, FAS, TEK, RAMP1, KLKB1, LGR4, CD244	861	2199	20793	1.4825950344866923	8.057190332541042E-4	8.060427841386894E-4	7.909294819360889E-4
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	276	31.15124153498871	2.631858356555728E-6	IPO13, TES, HHIP, AQP4, AQP2, ZC3H12D, PNN, KDR, IL12B, ARFIP1, CPNE2, LGALS9, TNS4, TRIM21, FBXO7, GLUL, MBNL1, PRKCD, MTUS1, MAP1A, ARMC4, AKAP9, RRAGD, BTK, TRIM13, PRKCQ, SIK1, EZR, LLGL1, CASZ1, PARPBP, MTMR3, CFH, DCUN1D3, HPN, LPAR1, AAAS, KLK6, ADH6, CRACR2A, SNX1, NUAK2, S100A16, RNF217, LTA4H, RREB1, WWTR1, DNASE2B, REG4, DDIT4L, PARVA, RMDN1, IGF1, ABTB2, GJB1, SDC1, PLCH1, AVL9, SPRR1A, BAP1, DCP1B, CLIC6, SH3KBP1, ARPC1A, TFCP2L1, ARHGAP5, METTL11B, AREG, M1AP, AKAP13, CSRP3, SLC22A18, GPRASP1, LOC362863, SFTPB, SYK, ANXA5, BGN, TFEB, GAB1, PAX6, PPHLN1, F3, MTSS1, DUSP7, COL2A1, MDFIC, DPYD, CLDN19, CDC42EP1, PPARG, PLIN2, ARHGEF1, SGK1, SGK2, PAFAH1B2, CD44, KANK1, FOXC1, ZFP703, PRUNE2, GNAI3, CXCR4, HTT, PTN, PTS, NKD1, SERPINB1A, LMAN1, WRN, RECQL5, RELN, ALOX5, LMNA, HARS, CAR2, EGLN3, CENPV, ANKIB1, GLYCTK, WNT7B, RFTN1, BBOX1, ELP3, TUBB4A, SORBS3, HIPK2, FABP2, FABP3, ZDHHC9, FAS, SCRG1, CSE1L, JADE1, CPOX, PLAT, AHR, PRDM1, MPO, NR3C2, ZFP36, HPGDS, CCND3, TEKT1, ENPP2, PLS3, CAR6, HMGN3, MAP3K5, PLS1, PHLDA3, KCNH2, MYLIP, PDGFRA, G6PD, TLE1, ATG9B, SARS, ADAM10, LZTFL1, ERMN, CAMKMT, DISP3, MAG, DMTF1, TXLNB, VCL, FKBP6, RAI14, ZCCHC7, COX19, COPA, PARM1, CNP, PXN, CREM, ARHGAP18, NREP, RASAL3, SPATA5, LPP, RTN4, RASGRP3, ZFP36L1, BCL2L11, SNTG1, EIF4EBP1, PLXNA1, BMF, WNT2, CNTLN, SMAD2, DARS, RGD1560289, TGFB3, DCDC2, DHCR24, TECRL, ESR1, TJAP1, SMAD7, NR4A2, RCAN1, PTPRE, IL6, LIN28A, STK24, CPS1, SYNJ1, COPS2, STK26, TBCE, RNF182, MYCBPAP, ACO1, NFE2L2, FGFR1, MOXD1, LRGUK, CDCA7L, LRRK1, DYSF, DUSP16, LMNB1, CALB2, SIX4, ZIC2, YWHAQ, ZIC3, ADAMTS1, ZIC1, DNMT3B, EMILIN3, CNGA3, HIF1AN, BCAS1, USP47, PPP1R12A, DTX3L, LMNTD1, OLIG2, PTP4A1, ALDH1A3, ARL4A, DDAH2, CASQ2, IRF5, FBP1, DOCK1, FAN1, PLEKHH2, DDC, HPGD, NXN, TUFT1, ZBTB49, TULP4, MOSPD1, NOD1, MAPK9, ACVR1C, NNAT, HES1, WASF1, RFFL, ARFGEF1, PPP1R14A, PLCL1, MACC1, MERTK, USH2A, FMNL3, CAPN13, KISS1, ERCC2, VIM	772	5227	18520	1.2667189394247287	0.0012178098895840872	6.092752095426511E-4	6.053274220078175E-4
GOTERM_BP_DIRECT	GO:0007417~central nervous system development	17	1.9187358916478554	4.200152285551848E-6	CASZ1, CHD7, HTT, PAX6, ELP3, AREG, HAPLN1, DLL3, MAPK9, VCAN, ZEB2, COL2A1, RELN, ZIC2, LMX1A, ZIC1, CNTN2	733	101	17535	4.026515202679886	0.01370277959823385	0.013797500258037823	0.013738698126040096
GOTERM_MF_DIRECT	GO:0008270~zinc ion binding	72	8.126410835214447	1.387765808491207E-5	TES, HHIP, JADE1, NR3C2, CSRP3, CSRP1, ADAMTS1, ENPP2, ENPP1, HIF1AN, TRIM21, CAR6, ADAMTS9, ADAMTS7, ZCCHC24, MYLIP, DTX3L, LMO2, TET2, ADAMTS20, RNF125, LMX1A, TRIM13, MMP19, PPARG, TRIM59, ZCCHC7, NR1I2, PXN, ADAMTS12, DCST1, LPP, ADAMTS10, ADH6, GLRA1, RNF214, ZBBX, MICALL2, LTA4H, MORC1, RFFL, PDLIM4, CPA6, RXRG, CPA4, CAR2, ANKIB1, PHC1, ZFP638, PCGF5, BBOX1, MARCH8, ESR1, ZFHX4, PHC3, ST18, BSPRY, NR4A2, CNOT4, MARCH1, MEX3B, NR6A1, LIN28A, ZDHHC9, AGBL1, RNF182, MSRB2, TRIM36, MDM4, SEC24D, RNF141, ZFP276	673	1054	16650	1.6900169452816836	0.012686374835564451	0.012767445438119106	0.012753567780034194
INTERPRO	IPR013783:Immunoglobulin-like fold	56	6.320541760722348	1.5083059968612857E-5	CD80, GBE1, WFIKKN2, F11R, HAPLN1, PTPRF, IL18BP, SGCA, TNN, KDR, IL12B, PLXNC1, NOMO1, VSIG8, PDGFRA, MYBPC1, UNC5B, IFNGR1, UNC5C, IGFN1, F3, FNDC8, FCAMR, TMIGD1, VCAN, AZGP1, MAG, CD300E, ALPK3, CD226, EPHA3, CD101, SEMA3D, IGSF1, FSTL5, EGFLAM, PLXNA1, CILP2, LRIG3, IL12RB1, MPZL1, RGD1563231, LRRN3, IL10RA, MERTK, USH2A, LRFN3, AXL, PLXNB3, TRIM36, CNTN2, CNTN3, TEK, CD244, CD200, FGFR1	798	737	19384	1.8456997310100216	0.02045191163614979	0.019772484797616653	0.019685889973685484
UP_KEYWORDS	Glycoprotein	127	14.33408577878104	1.8129055822551905E-5	CLSTN2, CD82, PLAT, AQP4, AQP5, AQP2, F11R, GLDN, CREB3L1, ENPP2, KDR, IL12B, ENPP1, PTGDS, KCNH2, GHSR, PDGFRA, ST6GAL2, SLC15A2, CD93, UNC5B, SLC11A1, SLC6A13, ADAM10, UNC5C, TM4SF4, PGF, AZGP1, MAG, CCDC80, EPHA3, DPEP3, KCNE1, PARM1, CALCRL, SDC4, IGSF1, HPN, LPAR1, SLC1A3, PDGFA, TNFRSF11B, CES5A, UGT8, TMEM245, C6, MLEC, B4GALNT1, ARSG, ICOS, SLC38A3, OPN4, JAG1, LRRN3, TGFB3, DNASE2B, REG4, ESR1, CP, LRFN3, PTPRE, BPIFB1, SLC6A9, CPS1, PLXNB3, CNTN2, SDC1, CNTN3, CD200, FGFR1, ABCD3, GRIK3, VLDLR, AREG, HAPLN1, PTPRF, LFNG, ADAMTSL4, ADAMTS1, BDKRB2, CD37, CTSC, PANX3, ADAMTS7, CD53, SFTPB, SLC13A3, GPR37, BGN, TAS2R144, F3, SLCO1C1, VCAN, COL2A1, CASQ2, PPARG, GPRC5C, SLC29A3, CD44, CHST3, CXCR4, DLL4, GLRA1, P2RY6, TTR, EGFLAM, RELN, PDPN, S1PR1, CORIN, MPZL1, SLC12A3, ANGPT1, IFNB1, PCDH8, VEGFC, MERTK, USH2A, HTR5B, MAS1, SLC4A9, FAS, VIM, SCRG1, KLKB1, LGR4, CD244	861	2123	20793	1.444666921603608	0.005784555110600942	0.002393249825029804	0.002348376390810495
UP_KEYWORDS	Signal	188	21.21896162528217	2.2436717109654413E-5	OLFML2B, CLSTN2, HHIP, TMEM95, PLAT, AQP2, ADARB2, F11R, MPO, POFUT2, TNN, ENPP2, KDR, IL12B, FAM3C, PLXNC1, TNS4, PTGDS, CAR6, NOMO1, WLS, VSIG8, TECTB, PDGFRA, TLE1, SEMA6A, CD93, UNC5B, ADAM10, UNC5C, OLFM4, NPNT, PGF, EDAR, FCAMR, AZGP1, MAG, CCDC80, COL4A3, CD300E, ERP27, CD226, LY6H, EPHA3, CD101, DPEP3, PARM1, CALCRL, CFH, SDC4, IGSF1, PDGFA, TNFRSF11B, ADAMTS12, PCDH18, LYPD6, CES5A, FBLN2, ADAMTS10, KLK6, UGT8, C6, ADGRG6, FAM180A, MLEC, PLXNA1, ARSG, ICOS, WNT2, CLCA4, SEC31B, TXNDC5, CPA4, JAG1, LRRN3, TGFB3, DNASE2B, REG4, LOC100362981, DHCR24, IGF1, RMDN1, BMP7, CP, LRFN3, PTPRE, IL6, BPIFB1, FXYD3, GPR180, LOC103689965, PLXNB3, CNTN2, SDC1, CNTN3, FXYD6, COL9A2, CD200, FGFR1, MOXD1, CXCL6, PIGU, WFIKKN2, RGD1305645, GRIK3, CXCL1, VLDLR, CHRDL2, AREG, PTPRF, IL18BP, SGCA, C1QTNF7, ADAMTSL4, ADAMTS1, EMILIN3, RSPO2, IDS, ADAMTS9, CTSC, ADAMTS7, SFTPB, GPR37, IFNGR1, SSR2, GKN1, BGN, OTOS, IL17RD, RGMB, GFRA2, F3, ADAMTS20, TMIGD1, VCAN, COL2A1, MMRN2, CASQ2, CDH12, CDHR3, MMP19, LRRC3B, GPRC5C, MATN4, SPACA7, CD44, PLEKHH2, PTN, DLL3, DLL4, GLRA1, LMAN1, FSTL5, TTR, EGFLAM, RELN, ACVR1C, NPVF, PDPN, SLITRK6, LRIG3, CILP2, IL12RB1, MPZL1, RGD1563231, ANGPT1, IFNB1, IL10RA, SEMA4B, LGI2, PCDH8, VEGFC, MERTK, GLRA4, MUC5B, USH2A, PRSS40, KISS1, AXL, SMOC1, VWC2, FAS, TEK, RAMP1, SCRG1, KLKB1, LGR4, CD244	861	3420	20793	1.3275342828616257	0.007154116617825057	0.002393249825029804	0.002348376390810495
GOTERM_BP_DIRECT	GO:0007420~brain development	30	3.3860045146726865	2.9541397118839204E-5	FOXC1, LPAR1, CXCR4, HTT, PTN, SPATA5, AK7, PCDH18, WRN, RELN, BCL2L11, ZIC1, NNAT, SIX3, S1PR1, SLC38A3, KCNH2, PDGFRA, EMX2, APAF1, PTCH1, UNC5C, PAX6, GRHL2, DIAPH1, DMRTA2, LMX1A, SYNJ1, PAFAH1B2, FGFR1	733	303	17535	2.36853835451758	0.09248476305660791	0.048521744767693394	0.048314954987861515
UP_SEQ_FEATURE	domain:TSP type-1 2	6	0.6772009029345373	3.909207111754202E-5	C6, ADAMTS1, UNC5B, ADAMTSL4, UNC5C, ADAMTS7	363	10	7976	13.183471074380167	0.04122896215251626	0.02107062633235515	0.020972896154561296
