	Gene	CA_LogFC	DG_LogFC	NAc_LogFC	SVZ_LogFC	CA_FDR	DG_FDR	NAc_FDR	SVZ_FDR
AABR07035470.1	AABR07035470.1	0.598449256	0.722125885	0.793409753	0	0.002762437	0.002015066	1.90E-06	1
Crispld2	Crispld2	0.918430779	0	0.85973922	0.678553714	1.10E-06	1	1.07E-05	0.002484643
Fcgbp	Fcgbp	1.343692127	0	0.624791659	0.812754416	1.38E-15	1	0.001225202	0.002028724
Hspb1	Hspb1	0.85489543	0	1.227167573	0.874612455	9.56E-07	1	1.18E-13	9.24E-06
Klhl1	Klhl1	1.392223069	-2.436354575	0.660115349	1.287840944	0.000261955	1.88E-10	0.008681683	0.001301068
Nat8f5	Nat8f5	0.899193957	0	0.953691759	0.814468613	2.82E-05	1	1.07E-06	0.000310969
Ret	Ret	0.925873064	0	1.091685816	1.628327951	5.07E-18	1	5.77E-21	4.03E-13
Vip	Vip	0.837203362	0	0.872569974	1.7199738	2.66E-07	1	0.002013299	0.009622285
AABR07027407.1	AABR07027407.1	0	1.371013651	1.429699324	1.476359149	1	3.01E-09	2.35E-13	9.69E-05
Gfap	Gfap	0	0.823361311	1.451466836	0.909025759	1	3.21E-12	1.06E-25	1.33E-15
Hapln4	Hapln4	0	1.273155584	0.699996424	1.081919403	1	3.26E-29	6.52E-06	4.68E-11
Nrn1	Nrn1	0	1.392114191	0.97175147	1.413675084	1	1.55E-12	2.82E-08	2.67E-07
Pla2g7	Pla2g7	0	1.02262983	1.100018837	0.988176918	1	4.83E-09	1.10E-05	3.71E-09
Plcxd2	Plcxd2	-0.762274091	0.942914751	0.765951661	0.618349232	4.96E-07	9.09E-16	0.00337842	0.000191824
Rgs16	Rgs16	0	0.777994729	0.657491325	1.293769837	1	0.000291648	5.74E-06	2.40E-07
S100a4	S100a4	0	0.987274758	1.22773463	1.12643957	1	0.001790518	0.000245473	8.33E-05
Tnnc2	Tnnc2	-1.059556915	-1.278494297	0	-0.96488748	0.003372074	0.001901623	1	1.14E-05
Lrrc10b	Lrrc10b	-0.848993664	2.347743316	-0.859250795	-1.28696443	6.89E-06	6.24E-33	0.000133643	7.98E-13
Mme	Mme	-0.695097089	0	-0.69119577	-1.101228879	0.001977486	1	6.06E-09	1.81E-08
Plk5	Plk5	-1.69280063	0	-0.914050295	-1.148183873	4.81E-12	1	7.03E-10	2.85E-11
Slc4a11	Slc4a11	-1.608183499	0	-1.610073679	-1.068139666	3.58E-07	1	6.90E-28	0.000263596
Tmem54	Tmem54	-1.394083126	1.454105325	-0.88218468	-1.323319627	8.40E-08	7.81E-17	8.53E-06	2.66E-08
AABR07026032.1	AABR07026032.1	0	-1.211985046	-1.294916116	-0.956649539	1	3.00E-05	1.99E-15	0.003089029
AABR07026032.3	AABR07026032.3	0	-1.262842153	-1.071003882	-1.020043236	1	0.000344359	6.34E-19	0.002589407
AABR07052730.2	AABR07052730.2	0	-1.323682614	-0.938345617	-0.965189705	1	0.007084655	0.001954997	0.002565347
Arpp21	Arpp21	0	-1.066888369	-0.848887441	-0.897805035	1	3.51E-14	6.87E-06	5.63E-12
Clspn	Clspn	0	-1.273577215	-1.519749353	-1.331264926	1	0.00743333	1.87E-06	2.87E-05
Dach1	Dach1	1.052722009	-0.717388314	-0.85558415	-0.949728093	0.008966073	0.007841726	5.75E-06	0.000955964
Drd1	Drd1	0.82557129	-1.27358608	-1.043551775	-1.063881652	0.006686432	6.56E-08	7.04E-05	1.77E-20
Drd2	Drd2	0	-1.487471744	-0.881755508	-0.883225144	1	1.84E-07	2.44E-07	0.000254454
Gcnt2	Gcnt2	0	-0.607232164	-0.65388477	-1.091078367	1	0.000659879	1.09E-07	4.68E-12
Gpr6	Gpr6	0	-1.357041002	-1.653403103	-1.471085498	1	0.001336358	3.34E-08	1.94E-15
Gpr88	Gpr88	0	-2.213124759	-1.043540001	-1.185100722	1	2.98E-11	1.87E-05	2.57E-06
Kremen1	Kremen1	0	-0.934220901	-0.738288477	-0.961703139	1	0.006886669	4.92E-22	4.51E-08
Krt26	Krt26	0	-1.061874125	-0.626265379	-0.691146733	1	2.56E-05	6.44E-06	5.27E-06
Ppp1r1b	Ppp1r1b	0	-0.591568443	-1.088849102	-1.118167776	1	0.009175953	6.05E-06	2.92E-09
Rarb	Rarb	0	-0.754437484	-0.750258901	-1.188553409	1	8.09E-05	1.49E-09	5.84E-43
Rasgrp2	Rasgrp2	0	-1.163520439	-0.602996586	-1.031898197	1	4.10E-16	2.38E-07	1.12E-09
Rgs9	Rgs9	0	-1.445514713	-0.984828461	-1.409170776	1	2.73E-08	1.54E-13	7.66E-08
Syndig1l	Syndig1l	1.283934976	-1.122687917	-0.93775201	-1.259781046	0.004605479	0.000765729	4.63E-07	3.98E-15
Ush2a	Ush2a	0	-0.818134229	-0.655148833	-0.613138912	1	0.003055736	0.000188926	0.000230747
