Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0043025~neuronal cell body	48	7.741935483870968	1.0588460977219324E-11	CPNE5, TMPRSS5, CRTC1, CHRNA4, RASGRF1, KCNC4, CAMK2A, CACNA1D, HTR2A, DBH, SLC7A10, KALRN, LRP8, ROBO1, UCHL1, CAMK2N1, ZFP385A, MYO6, APOD, APBB1, BRINP3, NTSR1, SPTBN2, HSP90AA1, MYO10, HOMER1, KCNB1, SMURF1, BDNF, TNK2, DTNBP1, DAB2IP, CCK, BAIAP2, SYT7, ERMN, GRIN1, CNKSR2, P2RX6, OLFM1, TIAM1, PDE10A, VGF, RGS10, EFHC1, ARHGEF7, PTPN5, SHANK2	529	540	18520	3.1119512707414407	4.5530201830956685E-9	4.553038220204309E-9	4.298915156751046E-9
UP_KEYWORDS	Alternative splicing	65	10.483870967741936	2.2893245193777815E-10	ERO1A, MYT1L, PITPNB, ETS1, FGF5, UBTF, SLC12A8, PRIMA1, RING1, DYRK1A, ACSL6, PAX6, CSNK1D, SSTR2, ERMN, CNKSR2, ATRN, OLFM1, CACNB2, CEACAM1, MAG, OLFM3, RTN4RL1, CLDN19, SHANK2, CAMK1G, NDRG4, CHRNA4, STXBP1, IGSF1, CACNA1D, KALRN, PSMA7, CACNA1I, MOBP, CBS, PDGFD, ZC3H18, APBB1, STX2, CAMK2G, SH2B3, TSPOAP1, ASIC1, SEC31A, HOMER1, PDE2A, BAIAP2, CDC42BPA, USF2, SYT7, ST18, GRIN1, TF, PDE10A, GDNF, RCAN2, CSPG5, BAX, KRAS, GRB2, SHBG, AGRN, PLCD4, BCAR1	607	938	20793	2.3737718795994143	6.226961868360803E-8	5.52464392585703E-8	5.077797725971535E-8
UP_KEYWORDS	Cell junction	42	6.774193548387098	4.062238180777228E-10	GABRB1, ARF1, DOC2A, CHRNA4, CAMK2A, RASGRP2, LIN7B, RPH3A, GRM2, RIMS3, GJC2, CAMK2N1, GJA4, SLC17A6, GABRD, PRIMA1, PRKCG, CD53, GABBR2, AFAP1L1, HOMER1, KCNB1, GABRA4, TNK2, MINK1, DTNBP1, ACTN4, GRIN2B, GABRG3, SYT7, PTK2, GRIN1, CLDN11, OLFM1, CEACAM1, OLFM3, RIMBP2, CLDN19, AGRN, ARHGEF7, BCAR1, SHANK2	607	468	20793	3.0741984539348626	1.1049287629294469E-7	5.52464392585703E-8	5.077797725971535E-8
GOTERM_MF_DIRECT	GO:0005515~protein binding	89	14.35483870967742	1.2942455729310823E-9	ARF1, FLT3, RASGRF1, HTR2A, ETS1, AQP1, IL18BP, ROBO1, RPH3A, GRM2, AKT2, C1QBP, RPS6KA1, UBTF, CAPN1, SCN1B, YWHAH, NUP214, PRKCG, HSP90AA1, SMARCC2, LIFR, CSNK1D, ACTN4, MYRIP, SOX10, EPN1, CACNB1, CNKSR2, TIAM1, CACNB2, CEACAM1, CACNB3, MAG, RILPL1, KCTD13, ALDOA, ARHGEF7, CRYAB, SHANK2, HDAC3, ROCK2, CHRNA4, GPS1, STXBP1, CAMK2A, SDC3, CACNA1D, AKAP6, ADRB1, PTGS2, KALRN, LIN7B, PODXL, PRKAR2A, MYO6, APBB1, STX2, SPTBN2, SUZ12, CHGA, GABBR2, SMAD4, HOMER1, KCNB1, SMURF1, SS18L1, PDE2A, DTNBP1, DAB2IP, BAIAP2, CDC42BPA, GRIN2B, PTK2, GRIN1, FKBP1A, P2RX6, NEDD4, RIMBP2, BAX, KRAS, GRB2, VIM, XAF1, SHBG, AGRN, RAN, BCAR1, NECTIN1	481	1589	16650	1.9388100885898243	8.800866210245673E-7	8.80086989593136E-7	8.723215161555495E-7
UP_KEYWORDS	Phosphoprotein	178	28.70967741935484	3.2262435953755687E-9	ERO1A, MYT1L, CRTC1, PITPNB, ETS1, AQP1, CDH7, RPH3A, RGS4, ZFP36, RIMS3, FCGRT, AKT2, RPS6KA1, CAPN1, PRKCG, UNC5A, SFMBT1, SECISBP2, TMOD2, DYRK1A, LIFR, CSNK1D, ACTN4, ZCRB1, SOX10, ERMN, CACNB1, CACNB2, CACNB3, MAG, PPP1R3B, RAB35, RELL2, CSF1R, NDRG4, TTYH1, CHRNA4, STXBP1, SDC3, CACNA1D, ADRB1, FBXO46, RASGRP2, KALRN, NEUROD1, SULT1A1, CACNA1I, SPAST, GJC2, MOBP, PODXL, PRKAR2A, ZC3H18, ASIC1, MARK1, SPTBN2, SEC31A, JAG2, CPSF7, SPATA6L, AFAP1L1, HOMER1, GPR12, DTNB, EPHX2, TNK2, PDE2A, GRIN2B, PTK2, SYT7, NR2F6, RCAN1, EHD2, PKIB, YRDC, TF, TADA2A, RCAN2, CSPG5, GRB2, RAD9B, HSPB8, RASGRF1, KCNC4, DBH, HTR2A, ROBO1, CALB2, UCHL1, KCNT2, C1QBP, UBTF, ZFP365, YWHAH, HSP90AA1, RING1, SGIP1, DNMT3A, MINK1, SLC35G2, MYRIP, SSTR2, ARFGAP3, JOSD1, SSTR3, GNL1, EPN1, CLDN11, EPN3, CNKSR2, CEACAM1, VGF, RILPL1, ALDOA, ARHGEF7, GPRC5C, CRYAB, SHANK2, JDP2, OTUB1, GAS7, ZFP148, PARG, HDAC3, ROCK2, GPS1, ODC1, CAMK2A, ADCY3, FURIN, AKAP6, ACVR1B, PSMA7, DDN, ERBB3, CBS, GPAT3, CSK, APBB1, STX2, CAMK2G, CACNG3, SH2B3, GABRD, CACNG4, TRIM44, CHGA, CGREF1, GABBR2, MPP3, MYO10, KCNB1, RGD1304567, DAB2IP, DTNBP1, BBOX1, BAIAP2, CDC42BPA, ACVR2B, MYO9A, HIPK3, GRIN1, FKBP1A, P2RX6, NEDD4, CCDC8, RGS10, RIMBP2, PLP1, ACKR2, VIM, SLC28A2, AGRN, PLCD4, PTPN5, RAN, BCAR1	607	4047	20793	1.5066600068633424	8.77537877141954E-7	2.925127526473849E-7	2.6885363294796404E-7
UP_KEYWORDS	Synapse	30	4.838709677419355	1.2449489269676776E-8	GABRB1, ARF1, DOC2A, CHRNA4, CAMK2A, RASGRP2, LIN7B, RPH3A, GRM2, RIMS3, CAMK2N1, SLC17A6, GABRD, PRIMA1, PRKCG, GABBR2, HOMER1, KCNB1, GABRA4, MINK1, DTNBP1, GRIN2B, GABRG3, SYT7, GRIN1, OLFM1, OLFM3, RIMBP2, AGRN, SHANK2	607	295	20793	3.4835953424734036	3.3862553547869823E-6	8.465652703380208E-7	7.780930793547985E-7
GOTERM_CC_DIRECT	GO:0043005~neuron projection	34	5.483870967741936	3.3408455888075743E-8	ARF1, DOC2A, CPNE5, SDC3, PTGS2, RASGRP2, LIN7B, KALRN, AQP1, RPH3A, GRM2, NPTX1, PRKCG, GABBR2, HSP90AA1, SLC32A1, MYO10, HOMER1, TMOD2, DTNBP1, CSNK1D, ACTN4, SSTR2, BAIAP2, GRIN2B, SSTR3, CNKSR2, VGF, KCNQ4, VIM, ARHGEF7, SHANK2, CAMK1G, NECTIN1	529	393	18520	3.0288075345002574	1.4365533087645765E-5	7.182818015936285E-6	6.781916545279376E-6
GOTERM_CC_DIRECT	GO:0030424~axon	32	5.161290322580645	5.3404204586335064E-8	ROBO3, SDC3, KCNC4, CAMK2A, HTR2A, DBH, LRP8, ROBO1, AQP1, GRM2, GRK3, UCHL1, MYO6, NTSR1, KIRREL3, HOMER1, KCNB1, SMURF1, BDNF, TNK2, ITGA2, PDE2A, MINK1, DTNBP1, DAB2IP, CCK, ADRA2C, OLFM1, VIM, CRYAB, PTPN5, NECTIN1	529	361	18520	3.1033309071105784	2.29635449310317E-5	7.654602657374693E-6	7.2273690206840125E-6
GOTERM_CC_DIRECT	GO:0030054~cell junction	33	5.32258064516129	2.9017593891431744E-7	GABRB1, DOC2A, CHRNA4, CAMK2A, RASGRP2, RPH3A, GRM2, RIMS3, CAMK2N1, SLC17A6, GABRD, PRIMA1, SPTBN2, GABBR2, AFAP1L1, HOMER1, KCNB1, GABRA4, MINK1, DTNBP1, GRIN2B, GABRG3, SYT7, PLEKHA7, GRIN1, P2RX6, OLFM1, CEACAM1, OLFM3, RIMBP2, CLDN19, AGRN, SHANK2	529	410	18520	2.8178339250311217	1.247678876890035E-4	3.119391343328912E-5	2.945285779980322E-5
UP_KEYWORDS	Glycoprotein	102	16.451612903225808	4.781763671308872E-7	ERO1A, AQP5, AQP1, CDH7, FGF5, HTR6, CNTNAP5B, FCGRT, AKT2, SCN1B, PRIMA1, UNC5A, KCNK12, ENTPD6, CACNA2D2, LIFR, TMEM170B, GABRG3, OLFM1, MAG, OLFM3, SIDT1, CSF1R, TTYH1, CHRNA4, IGSF1, SDC3, CACNA1D, ADRB1, MCHR1, CACNA1H, CACNA1I, PODXL, PDGFD, APOD, NPTX1, BRINP3, NTSR1, ASIC1, WNT4, JAG2, B3GALNT1, GPR12, BDNF, GGH, GRIN2B, TF, TMEM17, GDNF, MGC109340, CSPG5, SHBG, SPRN, GABRB1, KCNC4, DBH, HTR2A, CX3CL1, ROBO1, GRM2, UCHL1, KCNT2, CD53, SLC32A1, KREMEN1, RTN4RL2, SSTR2, ADRA2C, SSTR3, SLCO1C1, ATRN, CEACAM1, RTN4RL1, GPRC5C, CRYAB, SHANK2, OPRD1, COLEC12, ITIH3, RAMP2, ADCY3, FURIN, PTGS2, ACVR1B, PSMA7, ERBB3, SLC17A6, TAS1R1, GABRD, CACNG4, CHGA, GABBR2, MOG, GABRA4, ACVR2B, HS3ST2, GRIN1, P2RX6, MFAP3, ACKR2, VIM, AGRN	607	2123	20793	1.6458059955255882	1.3005554501099859E-4	2.6012794371920264E-5	2.390881835654436E-5
