Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008329~signaling pattern recognition receptor activity	2	3.278688524590164	0.016820368861325378	TRIM5, TLR2	48	6	16650	115.62499999999999	0.8478580939726976	1.0	1.0
KEGG_PATHWAY	rno00564:Glycerophospholipid metabolism	3	4.918032786885246	0.0200290399811328	AGPAT5, PLA2G2C, AGPAT3	19	95	7749	12.879224376731301	0.7029754321072688	1.0	1.0
GOTERM_MF_DIRECT	GO:0016616~oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	2	3.278688524590164	0.02236538003071644	CTBP1, ADHFE1	48	8	16650	86.71875	0.9187918651750974	1.0	1.0
GOTERM_BP_DIRECT	GO:0008283~cell proliferation	4	6.557377049180328	0.025553039674003162	PDXK, DKC1, POC1B, ZFP37	49	232	17535	6.169950738916255	0.9993746999175278	1.0	1.0
GOTERM_BP_DIRECT	GO:0071712~ER-associated misfolded protein catabolic process	2	3.278688524590164	0.029710799918638727	SDF2L1, DERL1	49	11	17535	65.06493506493506	0.9998151407141885	1.0	1.0
GOTERM_BP_DIRECT	GO:0045087~innate immune response	4	6.557377049180328	0.03449915611117034	C4A, TRIM5, SERINC3, TLR2	49	261	17535	5.48440065681445	0.9999548656235769	1.0	1.0
GOTERM_BP_DIRECT	GO:0051092~positive regulation of NF-kappaB transcription factor activity	3	4.918032786885246	0.040169033133157825	TRIM5, CAT, TLR2	49	116	17535	9.254926108374384	0.999991576242481	1.0	1.0
GOTERM_BP_DIRECT	GO:0009636~response to toxic substance	3	4.918032786885246	0.04206604617680831	PDXK, CAT, TLR2	49	119	17535	9.021608643457384	0.9999952066779986	1.0	1.0
SMART	SM00563:PlsC	2	3.278688524590164	0.04641141241351197	AGPAT5, AGPAT3	28	17	9680	40.67226890756302	0.8432957593661994	1.0	1.0
GOTERM_MF_DIRECT	GO:0043295~glutathione binding	2	3.278688524590164	0.04694149263685958	GSTM2, LANCL1	48	17	16650	40.80882352941176	0.9951886004328876	1.0	1.0
INTERPRO	IPR016021:MIF4-like, type 1/2/3	2	3.278688524590164	0.05253311590818295	LOC500684, BZW1	59	18	19384	36.504708097928436	0.9998017933465273	1.0	1.0
INTERPRO	IPR002123:Phospholipid/glycerol acyltransferase	2	3.278688524590164	0.05253311590818295	AGPAT5, AGPAT3	59	18	19384	36.504708097928436	0.9998017933465273	1.0	1.0
GOTERM_MF_DIRECT	GO:0016746~transferase activity, transferring acyl groups	2	3.278688524590164	0.06298855952535926	CTBP1, AGPAT3	48	23	16650	30.163043478260867	0.999269394102728	1.0	1.0
UP_KEYWORDS	Signal	15	24.59016393442623	0.09483487786054642	CD164, SDF2L1, PLA2G2C, LECT2, MFAP5, C4A, GLRA3, MANSC1, SVAL1, CD48, LOC108348081, ADAMTS6, NUCB2, FGF21, TLR2	60	3420	20793	1.5199561403508772	0.9999225284797381	1.0	1.0
UP_KEYWORDS	Cell projection	4	6.557377049180328	0.09496391566623748	C4A, GLRA3, POC1B, IQCG	60	383	20793	3.619321148825065	0.9999235706726096	1.0	1.0
INTERPRO	IPR006907:Domain of unknown function DUF622	2	3.278688524590164	0.09965276068758203	LOC102546495, LOC102547811	59	35	19384	18.773849878934623	0.999999937369499	1.0	1.0
