Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005829~cytosol	126	11.517367458866545	5.26193724059902E-7	INS1, AHCYL2, CMAS, TP53RK, ACTB, ARHGAP35, PCMT1, STK11, BAIAP2L1, OSBP, AKT1, MAP3K8, KPNA4, SNRPD3, TRIM27, MLYCD, EPM2A, SECISBP2, AP1AR, FNDC3A, LARP4B, CMBL, EML1, EEF1A1, CRYZL1, S100A6, ACOT5, ARL6, LOC103694903, ALOX15, UAP1, AK8, HSP90B1, SDCBP, ATXN3, BAG4, LARS, BLOC1S3, PLCG2, PIP5K1C, PLCG1, ATG7, SNX8, EPHX2, SEC16A, PMM2, DENND4C, ASPSCR1, MTHFR, WDYHV1, EHD2, UCK2, NPLOC4, UBA2, CORO7, TOP2B, IGBP1B, GDI2, SLC2A1, IDE, AKR1B8, HK1, SCPEP1, UCHL1, RAC2, DNM1L, ACTR2, ADSL, DBNL, GPX1, PDCD6IP, VPS13C, ELAC1, WIPI1, SERPINB9, WIPI2, GPCPD1, SYN1, TNFRSF1A, TGFBR2, SLC7A5, RAPGEF1, ATG4D, RALA, STX17, STX16, SRC, HAAO, PELI2, GOSR1, TXLNG, UACA, PPM1F, PAPSS1, FAM129B, MAPK8, MTHFD1L, DNAJB6, CTNNA1, STX6, BNIP2, MAPK1, BAK1, VHL, GC, LCMT1, CYTH1, CBR3, NQO1, MON2, RIC1, CSNK1A1, TRAPPC10, MX2, RRP1B, UBE2G2, MAPK14, PFKL, CARM1, CTH, SGSM3, PPP2R2D, BAX, COPG2, ATXN10, PFKP	944	1590	18520	1.5546850015989766	3.0777603678455723E-4	3.0782332857504265E-4	3.0571855367880307E-4
GOTERM_CC_DIRECT	GO:0016020~membrane	159	14.53382084095064	3.68785648257362E-6	LOC100911847, SLC27A1, CMAS, TP53RK, NUP188, SPPL2B, EIF4A3, OGFOD3, XYLT2, ACTB, FBL, STK11, CNST, HERC2, OSBP, ARL6IP5, SLC15A1, AQR, UNC5CL, ECH1, SLC30A4, FNDC3A, LARP4B, ATP11A, SDHA, SYTL3, TMEM131, EEF1A1, GNPAT, POR, SYPL1, SOAT1, BIN1, ORAI2, IL6ST, PLPP1, FKBP5, TUBGCP2, ARL6, ALOX15, PIK3R4, SLC1A4, PSEN1, SLC1A5, HSP90B1, GRK1, FUT8, DHRS7B, PLCG2, MYH14, ST3GAL1, HMOX2, ATG5, TRAP1, ICMT, NUP155, OSBPL5, ATP8B1, RCC2, CNOT10, IGF2R, EHD2, AGO3, ARPC3, HNRNPF, ALPL, CORO7, STT3B, DCP1A, MAP3K13, EIF4G2, DIRAS3, HBS1L, LRSAM1, GPAA1, HEXB, HEXA, GDI2, SLC2A1, LPCAT1, AP2A1, LRMP, ADAR, KIF11, PKD1, SPPL3, CTSS, JPH2, CAPZB, RARS, CNGA1, RAC2, LBP, DNM1L, YWHAG, SCYL1, NDC1, ACTR3, IKBIP, ACTR2, ABCC1, PDCD6IP, PARP1, ITGA1, ZDHHC13, SERPINB9, CTPS1, WIPI2, DDOST, SIRT3, SLC7A5, PRPF18, LMBRD2, OAS2, HEATR5B, IL3RA, AGPS, CHMP6, SFT2D1, SNAP47, RGS19, STX16, MVP, ATL2, PELI2, GOSR1, IGHMBP2, HSD17B4, UACA, RHD, NCLN, CLMP, MTHFD1L, PTPRZ1, DNAJB6, STX6, IL21R, BAK1, VHL, CMTM7, RIC1, CSNK1A1, NDE1, IRGC, AP2B1, ARCN1, RAB10, TJP1, CENPE, PFKL, GLRB, VAPB, ETNK1, BAX, PNPLA6, ATXN10, GPD1L, PTPN4, PFKP	944	2201	18520	1.417248708214294	0.0021550745056028164	0.0010786980211527838	0.0010713223081876366
KEGG_PATHWAY	rno01100:Metabolic pathways	102	9.323583180987203	7.521654350158359E-6	AHCYL2, CMAS, XYLT2, ABAT, PNP, ANPEP, MLYCD, SEPHS2, CSGALNACT1, ST6GAL1, PCYT2, NDUFA10L1, CMBL, SDHA, KMO, MINPP1, LOC679739, FOLH1, GAPDHS, CYP2E1, ACOT5, PLPP1, ACOT4, ALOX15, UAP1, ADH7, PLA2G7, AK8, PGS1, FUT8, PLCG2, RGD1559459, PIP5K1C, PLCG1, NDUFV2, ST3GAL1, GGT7, ST8SIA1, EPHX2, PMM2, MTHFR, B3GALT5, COQ6, ACER2, COQ3, UCK2, COQ2, CYP2C23, ALPL, HPSE, ACO2, STT3B, B4GALT3, GPAA1, HEXB, TREH, PIGQ, COX4I2, HEXA, LPCAT1, AKR1B8, HK1, AKR1B7, DSE, UPP1, PGLS, AASS, BCKDHA, CERS4, ADSL, PLA2G4D, PLA2G4E, CTPS1, DDOST, NT5C3A, BDH2, ACOX2, NME7, B3GNT6, AGPS, B3GNT2, ASAH1, HAAO, HSD17B4, PAPSS1, UGP2, MTHFD1L, POLR2E, MGAT3, GCNT3, SC5D, NT5M, ACSS1, CBR3, NDUFA9, NDUFA6, C1GALT1, PLA2G2A, PFKL, CTH, ETNK1, PFKP	407	1285	7749	1.5112916949492827	0.0020287935229110765	0.002030846674542757	0.0019405868223408567
UP_KEYWORDS	Hydrolase	99	9.049360146252285	1.0225080243032238E-5	TPSB2, AHCYL2, SPPL2B, POP4, EIF4A3, HDAC11, ANPEP, ENPP5, HABP2, EPM2A, ENTPD3, USP4, ATP11A, CMBL, MINPP1, FOLH1, PDE12, MPPE1, PPEF2, PLPP1, TUBGCP2, LOC103694903, ISG20L2, PSEN1, PLA2G7, ATXN3, RNASEH1, PLCG2, PLCG1, RHBDL3, GGT7, ATP8B1, EPHX2, FUCA1, FUCA2, WDYHV1, TMPRSS13, ACER2, EHD2, PROC, MGC109340, ALPL, HPSE, LGMN, HEXB, TREH, DIS3L, HEXA, ADAR, IDE, PTPRH, CTSS, SCPEP1, UCHL1, PPP3CC, ACP5, PGLS, USP30, DNM1L, ILKAP, DUSP4, TMPRSS11A, MANBA, USP48, ABCC1, PLA2G4D, USP42, PLA2G4E, ELAC2, PDE4C, GPCPD1, SIRT3, NT5C3A, MMP17, ASPG, MCM6, DAGLB, SMPDL3A, ATG4D, ASAH1, USP12, IGHMBP2, PPM1K, PPM1F, PSMA8, UNG, PPP2CB, PTPRZ1, MFN1, RBBP8, PDE6B, USP22, EYA3, F11, IRGC, PLA2G2A, NAGA, MRE11A, PTPN4	1068	1235	20793	1.5606809807578585	0.0033176524573078625	0.0033231510789854773	0.0032004501160690906
UP_KEYWORDS	Transferase	101	9.23217550274223	4.712957553202614E-5	CMAS, XYLT2, ABAT, PCMT1, FBL, STK11, HERC2, PNP, AKT1, PIM3, KAT7, MAP3K8, PIP4K2B, ROS1, CSGALNACT1, ST6GAL1, PCYT2, CSNK2A1, DAPK3, CSNK2A2, CDYL, TPST2, GNPAT, OBSCN, SOAT1, HAT1, TSSK6, SIK2, AURKAIP1, FICD, LOC103694506, PIK3R4, AK8, ART4, GRK1, FUT8, CHST10, RGD1559459, PIP5K1C, CHST14, ST3GAL1, IP6K3, CDK17, GGT7, ICMT, GSTM1, SMURF2, ST8SIA1, B3GALT5, COQ3, UCK2, COQ2, MAP3K13, B4GALT3, TRMU, SETD2, TRMO, LPCAT1, B3GNTL1, HK1, UPP1, METTL16, SULT4A1, GAL3ST3, ILKAP, PARP1, ELOVL2, FN3KRP, ZDHHC13, DNTT, DDOST, TGFBR2, SULT1D1, NME7, OAS2, B3GNT6, AGPS, B3GNT2, SGK3, RBKS, SRC, ACNAT2, AURKA, MAPK8, MGAT3, GCNT3, MAPK1, LCMT1, TRDMT1, CSNK1A1, RIOK3, C1GALT1, WWP1, CDC42BPB, MAPK14, MAPK15, PFKL, CARM1, ETNK1, POMK, PFKP	1068	1316	20793	1.4942091287865849	0.015200757204392179	0.007658556023954248	0.007375778570762091
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	178	16.270566727605118	5.708615395990883E-5	LOC100911847, PBLD1, SPON2, CPNE8, HDAC11, LY75, OGFOD3, ABAT, TM7SF3, ACTB, PCMT1, FBL, SMR3B, STK11, BAIAP2L1, PNP, BPIFA2, ANPEP, ARL6IP5, KPNA4, SNRPD3, KIFAP3, LGALS7, SLC6A19, ST6GAL1, NHLRC3, ECH1, STX7, PDZK1, CMBL, KMO, SDCBP2, EEF1A1, TPST2, SLC9A3, MINPP1, TWSG1, FOLH1, SYPL1, SELENOP, S100A6, COL8A1, IL6ST, PLPP1, FKBP5, ARL6, PRKRIP1, SLC1A4, SLC1A5, ACTR3B, FBLN5, HSP90B1, SLC5A5, SDCBP, FUT8, RACGAP1, PSAP, PLCG2, MYH14, CHST14, ST3GAL1, BPTF, TRAP1, SLC37A2, EPHX2, FUCA1, PMM2, FUCA2, ARPC4, IGF2R, EHD2, COL5A1, ARPC3, GNB1, ALPL, SERINC1, CD22, LGMN, SLC25A1, B4GALT3, HBS1L, ITGB5, HEXB, TREH, HEXA, GDI2, SLC2A1, BRK1, DBI, PKD1, SCPEP1, LASP1, UCHL1, UBL3, PPP3CC, CAPZB, KRT26, RARS, SUMO3, TIMP2, RAC2, ACP5, LBP, PGLS, YWHAG, ACTR3, ACTR2, ABCC1, DBNL, GPX1, PDCD6IP, VWF, VPS13C, ITGA1, FGG, ATP6AP2, ARHGEF18, SERPINB9, ITFG1, SLC7A5, BDH2, GPRC5A, HEATR5B, ANGPTL6, PLSCR4, TMEM106B, B3GNT2, FAM20A, CDH15, GAS6, CHMP6, CRYAA, SMPDL3A, ANGPTL1, RBKS, RALA, ASAH1, SRC, MVP, HAAO, PRCP, SLC5A10, UACA, PSMA8, FAM129B, PPP2CB, UGP2, CLMP, GNG4, LMAN2, GCNT3, EPS8L1, MAPK1, BEND7, GC, CD55, SPEN, NQO1, NQO2, MON2, F11, PLA2G2A, NAGA, WWP1, CDC42BPB, MAPK14, RAB10, MFAP4, PFKL, FABP5, GLOD4, CTH, BAX, GPD1L, PFKP, TPT1, EIF3B, SNTB2	944	2646	18520	1.3197727301843523	0.03284485153376804	0.011131800022182222	0.011055685150235675
UP_KEYWORDS	Phosphoprotein	258	23.583180987202926	7.68730156818511E-5	TMEM41B, POP4, EIF4A3, CCNF, SCAMP4, BAIAP2L1, ANPEP, WDR91, FGFR1OP2, AKT1, PIP4K2B, KAT7, UNC13C, SLC6A19, ST6GAL1, CXADR, CSNK2A1, SECISBP2, ECH1, DAPK3, RFX2, PDZK1, CMBL, EML1, PLPP7, FAM133B, GNPAT, CFDP1, SOAT1, PDE12, CEP57L1, BIN1, SLC45A1, PIK3R4, CDCA7, CDKN2AIP, SLC5A5, RAB11FIP1, PLCG2, SCAP, PLCG1, PIP5K1C, ATG7, HMOX2, CDK17, TRAP1, GSTM1, SLC35E1, FUCA2, EHD2, UCK2, HNRNPF, ANP32E, CD28, SPRTN, CORO7, TECPR1, SUGP1, LIN54, HBS1L, PTGDR2, DIS3L, GDI2, SMG9, UCHL1, JPH2, KIF1B, EMB, NDC1, DUSP4, DBNL, ACTL6B, PARP1, SYN1, SLC7A5, TUBB2B, MED24, TNNT1, AGPS, TMEM106B, SGK3, MICU2, GAS6, CRYAA, CDC123, STX17, IGHMBP2, HSD17B4, AKAP2, TM9SF4, FAM129B, PPP2CB, STX6, STAT4, LEO1, SC5D, HEATR6, GC, LY6G6F, ZFP143, NQO1, NQO2, CSNK1A1, NDE1, TMEM176B, C1GALT1, GINS4, MRE11A, AP2B1, MPP7, DCBLD2, ARCN1, FABP5, SGSM3, COPG2, TPSB2, MUM1, DEUP1, TSEN2, ARHGAP35, FBL, STK11, ATCAY, FCGRT, PIM3, MAP3K8, ROS1, EPM2A, ZFP335, KCNH5, PCYT2, USP4, STX7, F2R, SLC30A4, CDYL, THOC5, GTF2F1, SDHA, RUNDC3B, EEF1A1, CLIP2, SLC9A3, FOLH1, FANCD2, HAT1, SELENOP, TIMELESS, GAPDHS, IL6ST, SRSF6, LOC103694903, ALOX15, CCDC146, PSEN1, PDS5A, HSP90B1, GRK1, TMEM123, SDCBP, ATXN3, FUT8, ORC1, DEAF1, SLC38A6, NDUFV2, GGT7, NUP155, EPHX2, KLHL22, TIMM44, FBXO31, BMP4, GNB1, RSRP1, PLEKHM1, ALPL, SERINC1, ACO2, SLC25A1, SLC2A1, FHL2, ADAR, DBI, MSLN, CDC73, HK1, LASP1, CAPZB, PGLS, RBM34, DNM1L, SULT4A1, YWHAG, SCYL1, BCKDHA, STPG1, USP48, ABCC1, GPX1, PDCD6IP, SVOP, NCBP1, USP42, CEP295, ELAC2, FGG, PDE4C, ATP6AP2, SEPT1, WIPI2, GPCPD1, RAD23B, TGFBR2, CREB1, ACOX2, GORASP2, ASPG, SAG, MTFR1, ETF1, MCM6, DAGLB, INA, SFT2D1, KRT80, RGS19, UHRF1, SRC, MVP, GOSR1, PPM1F, IWS1, AURKA, MAPK8, PTPRZ1, TAF1C, BSND, RBBP8, MAPK1, IRGC, NAGA, CDC42BPB, MAPK14, MAPK15, PFKL, GLRB, VAPB, CARM1, GLOD4, CTH, PPP2R2D, CLEC2G, ATXN10, FCGR2B, PFKP, TPT1, EIF3B	1068	4047	20793	1.24117323693789	0.024675156285067446	0.008327910032200537	0.008020417969473132
INTERPRO	IPR004843:Metallophosphoesterase domain	9	0.8226691042047531	8.328934801474908E-5	PPP2CB, PPP3CC, LOC103694903, TMEM62, ACP5, MRE11A, MPPE1, SMPDL3A, PPEF2	1008	29	19384	5.967980295566503	0.130147981313405	0.13942636857668997	0.13942636857668997
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	47	4.296160877513711	1.0995084367875724E-4	CCNK, GUCY2E, TP53RK, SRC, MAML1, PIK3R4, AURKA, HK1, MAPK8, STK11, RGD1560718, HSF1, STAT4, NEK1, MAPK1, AKT1, PIM3, MAP3K8, ROS1, ST3GAL1, IP6K3, SCYL2, SCYL1, CDK17, TGFB1, CSNK2A1, CSNK1A1, RIOK3, NEK5, DAPK3, CSNK2A2, MMD2, RGD1560303, CDC42BPB, MAPK14, MAPK15, OOEP, TGFBR2, OBSCN, CREB1, BMP2K, POMK, TSSK6, SGK3, SIK2, MAP3K13, GAS6	905	501	17535	1.8176795580110499	0.3102557277963258	0.2636961008641265	0.2636961008641265
GOTERM_CC_DIRECT	GO:0000139~Golgi membrane	32	2.9250457038391224	1.5004701021723184E-4	RGS19, SPPL2B, GOSR1, XYLT2, LPCAT1, KLHL12, PSEN1, APOO, CLN3, GRM6, LMAN2, CHST10, OSBP, MGAT3, GCNT3, SCAP, DNM1L, ACTR3, DBNL, RIC1, SEC16A, ZDHHC13, B3GALT5, ARCN1, TNFRSF1A, TPST2, VAPB, B3GNT6, B3GNT2, COPG2, CORO7, CYP2E1	944	300	18520	2.092655367231638	0.08404137726202099	0.021944375244270158	0.021794328234052925
