Gene	logFC	FDR	Region
Prdm8	1.647953881	1.5e-11	NAc
Gadd45g	0.768664936	7.39e-05	NAc
Sfmbt2	0.438721539	0.04343296	NAc
L3mbtl1	0.349784031	0.019979412	NAc
Tle2	0.241968119	0.141522561	NAc
Trim16	0.165141526	0.631363638	NAc
Myo1c	0.145768067	0.383849821	NAc
Satb1	0.135432589	0.337459419	NAc
Hdac5	0.113105693	0.357377222	NAc
Cecr2	0.105491399	0.661339459	NAc
Leo1	0.098543278	0.458988092	NAc
Prkca	0.066480056	0.69204088	NAc
Dpf3	0.005064659	1	NAc
Padi2	-0.002224861	1	NAc
Prkcd	-0.022572542	0.9701861	NAc
Rps6ka4	-0.13819246	0.43039311	NAc
Prkag2	-0.169391241	0.185970538	NAc
Cit	-0.190223878	0.04313024	NAc
Tle1	-0.203326249	0.201270431	NAc
Kdm7a	-0.240142027	0.012613429	NAc
Cdk17	-0.250259556	0.014938664	NAc
Dpf1	-0.263037703	0.092861246	NAc
Smarca2	-0.285231029	0.003182968	NAc
Actr3b	-0.292855676	0.017610849	NAc
Prkcb	-0.298017751	0.006564321	NAc
Hdac11	-0.305618684	0.002080637	NAc
Npas2	-0.522845861	1.73e-08	NAc
Zbtb16	-0.528585113	0.006306549	NAc
Prdm16	-0.592269505	0.009088671	NAc
Satb2	-1.492599854	8.33e-05	NAc
Top2a	-1.714667011	6.01e-11	NAc
Prdm8	2.372260169	9.97e-17	DG
Gadd45g	-0.079766891	0.857756072	DG
Sfmbt2	-1.331781529	5.95e-05	DG
L3mbtl1	-0.780982621	0.000419664	DG
Tle2	-0.855249798	1.48e-07	DG
Trim16	-0.439591341	0.096621287	DG
Myo1c	-0.297223013	0.066820107	DG
Satb1	-0.680652972	1.4e-08	DG
Hdac5	-0.329037071	0.028543749	DG
Cecr2	0.742827314	4.22e-06	DG
Leo1	-0.612349392	2.27e-08	DG
Prkca	0.899552871	6e-13	DG
Dpf3	0.967767785	1.43e-06	DG
Padi2	-0.174858647	0.253064632	DG
Prkcd	0.045364586	0.917068195	DG
Rps6ka4	-0.314786627	0.049289106	DG
Prkag2	0.701691958	1.33e-06	DG
Cit	-1.20406257	6.15e-22	DG
Tle1	0.85578611	3.68e-13	DG
Kdm7a	0.741065004	1.45e-07	DG
Cdk17	0.142698676	0.295581176	DG
Dpf1	0.210190532	0.137633032	DG
Smarca2	-0.627289305	7.35e-06	DG
Actr3b	0.425514721	0.005171004	DG
Prkcb	-0.184757129	0.474844013	DG
Hdac11	-0.714760593	5.48e-07	DG
Npas2	-0.983964161	2.05e-06	DG
Zbtb16	0.473421443	0.000912934	DG
Prdm16	-0.147605604	0.465294941	DG
Satb2	-0.430969581	0.48041081	DG
Top2a	0.257658897	0.670887226	DG
Prdm8	-0.268198913	0.008912978	CA
Gadd45g	-0.04673431	0.941152244	CA
Sfmbt2	0.619329649	0.045120115	CA
L3mbtl1	0.323008322	0.140144517	CA
Tle2	0.492960919	0.002066569	CA
Trim16	-0.131313595	0.775073871	CA
Myo1c	0.602372876	8.9e-07	CA
Satb1	0.039979674	0.770394063	CA
Hdac5	0.632895177	3.07e-26	CA
Cecr2	-0.096865514	0.606855558	CA
Leo1	-0.059465882	0.698804535	CA
Prkca	-0.223825499	0.002930883	CA
Dpf3	-0.643105608	0.006800283	CA
Padi2	-0.029041533	0.911118262	CA
Prkcd	0.237422784	0.291702262	CA
Rps6ka4	0.329995724	0.033725691	CA
Prkag2	-0.304928067	0.000163979	CA
Cit	0.386069666	0.003804198	CA
Tle1	-0.104954796	0.432043226	CA
Kdm7a	-0.307228995	0.000298824	CA
Cdk17	0.038874386	0.789618606	CA
Dpf1	0.110766498	0.397822547	CA
Smarca2	-0.078283104	0.445281035	CA
Actr3b	-0.020192248	0.905985304	CA
Prkcb	-0.147570413	0.22092093	CA
Hdac11	0.218227632	0.013868086	CA
Npas2	0.436523276	3.7e-06	CA
Zbtb16	0.247322342	0.094032532	CA
Prdm16	-0.098599964	0.607902094	CA
Satb2	-0.287284409	0.20220464	CA
Top2a	-1.753271648	5.13e-14	CA
Prdm8	-0.696087865	0.56582238	SVZ
Gadd45g	-0.264437976	0.154650551	SVZ
Sfmbt2	0.142339592	0.77209824	SVZ
L3mbtl1	-0.205166977	0.401489903	SVZ
Tle2	0.094520723	0.780908926	SVZ
Trim16	0.888927383	1.95e-06	SVZ
Myo1c	0.356445659	0.012028363	SVZ
Satb1	0.397096096	0.106186098	SVZ
Hdac5	0.165515693	0.190851644	SVZ
Cecr2	0.49137579	3.78e-05	SVZ
Leo1	0.054425443	0.724428764	SVZ
Prkca	-0.269933124	0.025772222	SVZ
Dpf3	0.188344475	0.536134961	SVZ
Padi2	0.636166922	2.91e-05	SVZ
Prkcd	1.030572731	3.55e-09	SVZ
Rps6ka4	-0.650102776	9.24e-10	SVZ
Prkag2	-0.196590572	0.06565734	SVZ
Cit	0.118452532	0.359781954	SVZ
Tle1	-0.159228995	0.241332852	SVZ
Kdm7a	0.058501767	0.707801839	SVZ
Cdk17	-0.666357122	8.31e-15	SVZ
Dpf1	-0.796499989	3.2e-20	SVZ
Smarca2	-0.092350704	0.515578944	SVZ
Actr3b	-0.658186316	2.64e-09	SVZ
Prkcb	-0.799220806	3.83e-16	SVZ
Hdac11	-0.218002561	0.074826118	SVZ
Npas2	-0.4259816	9.27e-05	SVZ
Zbtb16	1.144473801	7.73e-08	SVZ
Prdm16	-0.837442123	4.37e-06	SVZ
Satb2	-0.129927216	0.927253519	SVZ
Top2a	-0.739044773	0.116975604	SVZ
