Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005829~cytosol	93	12.483221476510067	6.123322557916047E-7	AHCYL2, TP53RK, GDI2, SLC2A1, IDE, ACTB, AKR1B8, HK1, PCMT1, SCPEP1, UCHL1, STK11, BAIAP2L1, OSBP, RAC2, AKT1, SNRPD3, MLYCD, EPM2A, ACTR2, ADSL, DBNL, GPX1, PDCD6IP, SECISBP2, VPS13C, AP1AR, WIPI2, LARP4B, GPCPD1, EML1, SYN1, TNFRSF1A, SLC7A5, CRYZL1, RAPGEF1, ACOT5, ATG4D, STX17, STX16, SRC, ARL6, LOC103694903, HAAO, PELI2, GOSR1, TXLNG, UAP1, UACA, AK8, PPM1F, FAM129B, PAPSS1, HSP90B1, ATXN3, LARS, BLOC1S3, PLCG2, BNIP2, MAPK1, PLCG1, PIP5K1C, BAK1, VHL, LCMT1, ATG7, SNX8, CYTH1, CBR3, NQO1, MON2, RIC1, CSNK1A1, EPHX2, TRAPPC10, DENND4C, ASPSCR1, MTHFR, WDYHV1, RRP1B, UBE2G2, MAPK14, PFKL, UCK2, NPLOC4, CARM1, SGSM3, UBA2, BAX, COPG2, CORO7, ATXN10, PFKP	642	1590	18520	1.68729794862752	3.0122218557127045E-4	3.0126746984946947E-4	3.0126746984946947E-4
GOTERM_BP_DIRECT	GO:0006974~cellular response to DNA damage stimulus	24	3.2214765100671143	7.24685423025655E-6	CCNK, PAXIP1, WDR48, PARP1, BCCIP, MRE11A, FBXO45, PSEN1, BAZ1B, MAPK14, CDKN2AIP, FBXO31, CUL4A, STK11, HERC2, FANCD2, ERCC1, SPRTN, ZFP791, TIMELESS, MAPK1, NEK1, BAX, AKT1	617	231	17535	2.9527036982466486	0.018765048052299504	0.018943276957890623	0.018943276957890623
GOTERM_CC_DIRECT	GO:0016020~membrane	111	14.899328859060404	4.017681267767302E-5	LOC100911847, TP53RK, NUP188, EIF4A3, ACTB, FBL, STK11, CNST, HERC2, OSBP, ARL6IP5, SLC15A1, AQR, ECH1, LARP4B, ATP11A, SDHA, TMEM131, GNPAT, POR, SYPL1, SOAT1, ORAI2, PLPP1, FKBP5, TUBGCP2, ARL6, PIK3R4, SLC1A4, PSEN1, HSP90B1, GRK1, DHRS7B, PLCG2, MYH14, ATG5, TRAP1, ICMT, RCC2, CNOT10, IGF2R, AGO3, ARPC3, HNRNPF, CORO7, STT3B, DCP1A, MAP3K13, DIRAS3, HBS1L, LRSAM1, GPAA1, HEXB, GDI2, SLC2A1, LPCAT1, AP2A1, LRMP, PKD1, JPH2, CAPZB, RARS, RAC2, YWHAG, SCYL1, NDC1, IKBIP, ACTR2, ABCC1, PDCD6IP, PARP1, ZDHHC13, WIPI2, DDOST, SLC7A5, PRPF18, LMBRD2, OAS2, HEATR5B, IL3RA, CHMP6, SFT2D1, SNAP47, RGS19, STX16, MVP, ATL2, PELI2, GOSR1, IGHMBP2, HSD17B4, UACA, RHD, NCLN, CLMP, PTPRZ1, IL21R, BAK1, VHL, RIC1, CSNK1A1, IRGC, RAB10, TJP1, CENPE, PFKL, ETNK1, BAX, PNPLA6, ATXN10, PFKP	642	2201	18520	1.4548187527334642	0.01957329511602568	0.009883495918707564	0.009883495918707564
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	37	4.966442953020135	4.139809516479095E-5	CCNK, GUCY2E, TP53RK, SRC, MAML1, PIK3R4, AURKA, HK1, STK11, HSF1, STAT4, NEK1, MAPK1, AKT1, PIM3, ROS1, IP6K3, SCYL2, SCYL1, CDK17, TGFB1, CSNK2A1, CSNK1A1, RIOK3, DAPK3, CSNK2A2, MMD2, CDC42BPB, MAPK14, OOEP, CREB1, BMP2K, POMK, TSSK6, SGK3, MAP3K13, GAS6	617	501	17535	2.098865478119935	0.10256704266871619	0.05410731038038177	0.05410731038038177
UP_KEYWORDS	Acetylation	94	12.61744966442953	4.817812723249804E-5	HBS1L, GMEB1, EIF4A3, GDI2, SLC2A1, LOC100364457, SMG9, DBI, ACTB, HK1, PCMT1, LASP1, STK11, RNF114, PNP, CAPZB, RARS, ARL6IP5, AKT1, KIF1B, PIP4K2B, KAT7, PGLS, MLYCD, RBM34, YWHAG, ILKAP, BCKDHA, ACTR2, USP48, DBNL, GPX1, PDCD6IP, ACTL6B, NCBP1, PARP1, BUD31, ECH1, THOC5, SDHA, GNPAT, POR, TUBB2B, PRPF18, SOAT1, TNNT1, OAS2, HAT1, ETF1, SRSF6, INA, STX17, UHRF1, MVP, GOSR1, IGHMBP2, HSD17B4, ADH7, PDS5A, CDKN2AIP, HSP90B1, SYNGR1, LEO1, MAPK1, PLCG1, PIP5K1C, ATG7, CYTH1, ATG5, NDUFA9, TRAP1, NQO1, CSNK1A1, EPHX2, GINS4, MRE11A, KLHL22, CNOT10, MAPK14, RAB10, LETM1, COQ3, PFKL, UCK2, CYP2C23, NPLOC4, HNRNPF, GNB1, SPRTN, ANP32E, BAX, ACO2, PFKP, EIF3B	727	1775	20793	1.514649824670167	0.01377981198802225	0.013875300642959436	0.013586231879564448
UP_KEYWORDS	Transferase	72	9.664429530201343	1.735660648021818E-4	B4GALT3, TRMO, LPCAT1, B3GNTL1, HK1, PCMT1, FBL, STK11, HERC2, PNP, AKT1, PIM3, PIP4K2B, KAT7, ROS1, SULT4A1, ILKAP, CSGALNACT1, PCYT2, CSNK2A1, PARP1, ELOVL2, DAPK3, CSNK2A2, FN3KRP, ZDHHC13, DNTT, DDOST, TPST2, GNPAT, SOAT1, OAS2, NME7, HAT1, B3GNT2, TSSK6, SGK3, AURKAIP1, FICD, SRC, PIK3R4, AK8, AURKA, GRK1, CHST10, GCNT3, MAPK1, PIP5K1C, CHST14, LCMT1, IP6K3, CDK17, GGT7, ICMT, SMURF2, CSNK1A1, ST8SIA1, RIOK3, C1GALT1, WWP1, B3GALT5, CDC42BPB, MAPK14, COQ3, PFKL, COQ2, UCK2, CARM1, ETNK1, POMK, MAP3K13, PFKP	727	1316	20793	1.564801846285062	0.04876236177925619	0.02499351333151418	0.024472815137107633
UP_KEYWORDS	Ubl conjugation pathway	23	3.087248322147651	3.788471248076474E-4	USP48, UBE2H, USP42, SMURF2, UHRF1, USP4, USP22, CCNF, UBE2E1, WWP1, KLHL22, FBXO45, KLHL12, UBE2G2, FBXO31, ATXN3, UCHL1, RNF114, HERC2, NEURL3, SUMO3, VHL, ATG7	727	281	20793	2.3410153362671147	0.1033849347751794	0.02878044021342334	0.028180847708977018
UP_KEYWORDS	Nonsense-mediated mRNA decay	5	0.6711409395973155	3.9972833629754636E-4	NCBP1, EIF4A3, SMG9, ETF1, PNRC2	727	11	20793	13.000500187570339	0.10876289491131252	0.02878044021342334	0.028180847708977018
GOTERM_BP_DIRECT	GO:1900182~positive regulation of protein localization to nucleus	6	0.8053691275167786	6.707738049791817E-4	STK11, TGFB1, PARP1, SRC, AKT1, KAT7	617	21	17535	8.119935170178282	0.8269182162292732	0.5844675754051937	0.5844675754051937
UP_KEYWORDS	Phosphoprotein	176	23.624161073825505	9.87529281738929E-4	TPSB2, TMEM41B, POP4, CCNF, EIF4A3, MUM1, TSEN2, FBL, STK11, ATCAY, BAIAP2L1, FCGRT, FGFR1OP2, AKT1, PIM3, KAT7, PIP4K2B, ROS1, EPM2A, UNC13C, PCYT2, CXADR, CSNK2A1, USP4, SECISBP2, ECH1, F2R, DAPK3, THOC5, SDHA, EML1, PLPP7, CLIP2, GNPAT, CFDP1, SOAT1, PDE12, FANCD2, CEP57L1, HAT1, TIMELESS, GAPDHS, SRSF6, SLC45A1, LOC103694903, PIK3R4, PSEN1, PDS5A, CDKN2AIP, HSP90B1, SLC5A5, GRK1, TMEM123, ATXN3, DEAF1, PLCG2, SCAP, PIP5K1C, PLCG1, NDUFV2, ATG7, CDK17, TRAP1, GGT7, SLC35E1, EPHX2, KLHL22, TIMM44, FBXO31, BMP4, UCK2, HNRNPF, GNB1, SPRTN, ANP32E, CD28, PLEKHM1, SERINC1, CORO7, ACO2, TECPR1, SUGP1, SLC25A1, HBS1L, PTGDR2, DIS3L, GDI2, FHL2, SLC2A1, SMG9, DBI, MSLN, HK1, LASP1, UCHL1, JPH2, CAPZB, KIF1B, PGLS, EMB, RBM34, SULT4A1, YWHAG, SCYL1, NDC1, BCKDHA, DUSP4, USP48, ABCC1, DBNL, GPX1, PDCD6IP, SVOP, ACTL6B, NCBP1, USP42, PARP1, ELAC2, PDE4C, SEPT1, WIPI2, GPCPD1, SYN1, SLC7A5, TUBB2B, MED24, CREB1, GORASP2, TNNT1, ETF1, MTFR1, SGK3, GAS6, DAGLB, INA, SFT2D1, CDC123, KRT80, RGS19, STX17, SRC, UHRF1, MVP, GOSR1, IGHMBP2, HSD17B4, AKAP2, TM9SF4, PPM1F, AURKA, FAM129B, PPP2CB, PTPRZ1, TAF1C, LEO1, BSND, STAT4, MAPK1, SC5D, HEATR6, NQO1, CSNK1A1, TMEM176B, C1GALT1, GINS4, IRGC, MRE11A, CDC42BPB, MAPK14, PFKL, CARM1, SGSM3, COPG2, ATXN10, PFKP, EIF3B	727	4047	20793	1.2438333759889388	0.2476464780254698	0.056881686628162315	0.0556966514900756
