Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR022812:Dynamin	5	1.4326647564469914	1.1204153549681866E-4	EHD2, MX2, MFN1, DNM1L, NUGGC	320	16	19384	18.9296875	0.080189555001968	0.08358298548062672	0.08358298548062672
UP_KEYWORDS	Hydrolase	37	10.601719197707736	5.770419924633952E-4	SPPL2B, TREH, HEXA, ADAR, PPM1K, PLA2G7, CTSS, UNG, PSMA8, PPP3CC, ANPEP, MFN1, RBBP8, ACP5, USP30, RHBDL3, DNM1L, ENPP5, TMPRSS11A, MANBA, ATP8B1, EYA3, FUCA2, PLA2G2A, NAGA, CMBL, TMPRSS13, SIRT3, NT5C3A, EHD2, PROC, FOLH1, ASPG, ALPL, MCM6, PTPN4, SMPDL3A	341	1235	20793	1.8268275018699467	0.12986530668087948	0.13906712018367826	0.13906712018367826
GOTERM_BP_DIRECT	GO:0045071~negative regulation of viral genome replication	5	1.4326647564469914	0.0013770096609741823	FAM111A, RSAD2, MX2, CCL5, ADAR	288	30	17535	10.147569444444445	0.8845896385756629	1.0	1.0
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	63	18.05157593123209	0.0016583812556989303	PBLD1, ITGB5, TREH, HEXA, OGFOD3, LY75, ABAT, PPP3CC, BPIFA2, ANPEP, ACP5, KPNA4, LBP, KIFAP3, ACTR3, SLC6A19, ST6GAL1, VWF, ITGA1, FGG, STX7, ATP6AP2, SERPINB9, CMBL, PDZK1, EEF1A1, SLC9A3, FOLH1, SELENOP, PLSCR4, S100A6, TMEM106B, CRYAA, IL6ST, SMPDL3A, RBKS, RALA, PRCP, SLC1A5, SLC5A10, ACTR3B, PSMA8, SDCBP, FUT8, UGP2, RACGAP1, BEND7, GC, ST3GAL1, NQO2, FUCA2, PMM2, PLA2G2A, NAGA, ARPC4, EHD2, FABP5, COL5A1, CTH, GLOD4, ALPL, GPD1L, TPT1	302	2646	18520	1.4601072216966258	0.38510826196314596	0.4859057079197866	0.4859057079197866
GOTERM_BP_DIRECT	GO:0034314~Arp2/3 complex-mediated actin nucleation	4	1.146131805157593	0.0020746827135452763	ACTR3, ARPC4, TRIM27, ACTR3B	288	16	17535	15.221354166666666	0.961396213422982	1.0	1.0
GOTERM_BP_DIRECT	GO:0009615~response to virus	7	2.005730659025788	0.00225681371680673	RSAD2, MX2, CCL5, ADAR, GTF2F1, TLR3, TPT1	288	82	17535	5.197535569105691	0.9709989614313254	1.0	1.0
KEGG_PATHWAY	rno01100:Metabolic pathways	37	10.601719197707736	0.0024821304584472584	CMAS, TREH, PIGQ, HEXA, ALOX15, XYLT2, ABAT, PLA2G7, FUT8, UGP2, MTHFD1L, ANPEP, DSE, MGAT3, POLR2E, RGD1559459, UPP1, ACSS1, SEPHS2, ST3GAL1, AASS, CERS4, ST6GAL1, PMM2, NDUFA10L1, PLA2G2A, CTPS1, CMBL, NT5C3A, LOC679739, FOLH1, ACOX2, B3GNT6, CTH, AGPS, ALPL, CYP2E1	138	1285	7749	1.6168330231771275	0.40807810492947383	0.5237295267323715	0.5237295267323715
GOTERM_BP_DIRECT	GO:0090026~positive regulation of monocyte chemotaxis	4	1.146131805157593	0.0029508720496608867	TNFSF18, CCL5, CXCL17, PLA2G7	288	18	17535	13.53009259259259	0.9902535522486389	1.0	1.0
UP_KEYWORDS	Glycosidase	6	1.7191977077363898	0.0031928783717395737	MANBA, TREH, FUCA2, HEXA, NAGA, UNG	341	61	20793	5.99769241863372	0.537317748616968	0.2896309402988723	0.2896309402988723
UP_KEYWORDS	Lysosome	9	2.5787965616045847	0.0036053644020606515	MANBA, SPPL2B, HEXA, SLC30A4, TMEM106B, ACP5, NAGA, GIMAP5, CTSS	341	152	20793	3.6104530020064827	0.5812423525912529	0.2896309402988723	0.2896309402988723
GOTERM_BP_DIRECT	GO:0008053~mitochondrial fusion	4	1.146131805157593	0.004024193881813048	AFG3L1, MFN1, MIEF2, USP30	288	20	17535	12.177083333333332	0.99819759620142	1.0	1.0
