Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	rno03013:RNA transport	4	6.451612903225806	0.008143208646491311	EIF5B, NUP62, RPP21, NUP58	21	164	7749	9.0	0.3725323125440153	0.4641628928500047	0.4641628928500047
UP_KEYWORDS	Cytoplasm	15	24.193548387096776	0.008839223033451913	EIF5B, HSP90AB1, ZHX3, EXOC8, ACTL7B, CCNDBP1, LDHC, FAM168B, HAX1, EPB41L1, UBC, NUP62, KRT25, DZIP1L, BLVRA	62	2410	20793	2.0873711685182705	0.5128387868748228	0.715977065709605	0.715977065709605
GOTERM_BP_DIRECT	GO:0042306~regulation of protein import into nucleus	2	3.225806451612903	0.019008259712492415	NUP62, NUP58	49	7	17535	102.24489795918367	0.9890008930694084	1.0	1.0
GOTERM_CC_DIRECT	GO:0031965~nuclear membrane	4	6.451612903225806	0.019503653997241074	HAX1, CEP131, NUP62, NUP58	55	196	18520	6.871985157699443	0.8460541253862848	1.0	1.0
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	23	37.096774193548384	0.032093369024708454	EIF5B, C2CD5, HSP90AB1, ZHX3, EXOC8, VBP1, ACTL7B, DNAJB13, CCNDBP1, LDHC, HAX1, TBK1, TNIP2, EPB41L1, UBC, NUP62, KRT25, RASA2, TRIM24, DZIP1L, UBAP2, RP9, BLVRA	55	5227	18520	1.4816773049028644	0.9548997250646762	1.0	1.0
INTERPRO	IPR016159:Cullin repeat-like-containing domain	2	3.225806451612903	0.033531708623096054	EXOC8, CUL2	56	12	19384	57.69047619047619	0.9970685580457269	1.0	1.0
GOTERM_BP_DIRECT	GO:0006457~protein folding	3	4.838709677419355	0.03769256263849017	HSP90AB1, VBP1, DNAJB13	49	112	17535	9.58545918367347	0.9998801182850409	1.0	1.0
GOTERM_MF_DIRECT	GO:0005487~nucleocytoplasmic transporter activity	2	3.225806451612903	0.04653722563278781	NUP62, NUP58	45	18	16650	41.111111111111114	0.9947105369015987	1.0	1.0
GOTERM_BP_DIRECT	GO:0070208~protein heterotrimerization	2	3.225806451612903	0.05337521773047686	NUP62, NUP58	49	20	17535	35.78571428571428	0.9999974776843396	1.0	1.0
UP_KEYWORDS	Nuclear pore complex	2	3.225806451612903	0.06262186442140541	NUP62, NUP58	62	22	20793	30.488269794721408	0.994689928520626	1.0	1.0
GOTERM_BP_DIRECT	GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling	3	4.838709677419355	0.0657391052628787	TBK1, TNIP2, NUP62	49	153	17535	7.016806722689075	0.9999998851793008	1.0	1.0
GOTERM_BP_DIRECT	GO:0046580~negative regulation of Ras protein signal transduction	2	3.225806451612903	0.06627694695153093	NUP62, RASA2	49	25	17535	28.628571428571426	0.9999998997119632	1.0	1.0
GOTERM_BP_DIRECT	GO:0032728~positive regulation of interferon-beta production	2	3.225806451612903	0.06627694695153093	TBK1, IFNAR1	49	25	17535	28.628571428571426	0.9999998997119632	1.0	1.0
UP_KEYWORDS	Phosphoprotein	18	29.03225806451613	0.0713013612431498	EIF5B, HSP90AB1, ZHX3, EXOC8, ACTL7B, GPR6, CCNDBP1, FAM168B, HAX1, EPB41L1, UBC, NUP62, KRT25, RASA2, DZIP1L, TUT1, NUP58, BLVRA	62	4047	20793	1.4916425548195797	0.9975004632446787	1.0	1.0
GOTERM_BP_DIRECT	GO:0042110~T cell activation	2	3.225806451612903	0.0815318826208441	TREML2, IFNAR1	49	31	17535	23.087557603686633	0.9999999979104149	1.0	1.0
UP_KEYWORDS	Protein transport	4	6.451612903225806	0.08400077450224545	EXOC8, NUP62, SEC24C, NUP58	62	351	20793	3.821891370278467	0.9991805855405516	1.0	1.0
GOTERM_BP_DIRECT	GO:0051028~mRNA transport	2	3.225806451612903	0.09405768369214232	NUP62, NUP58	49	36	17535	19.880952380952376	0.9999999999170859	1.0	1.0
UP_SEQ_FEATURE	compositionally biased region:Ala-rich	2	3.225806451612903	0.09735762024198422	NUP62, RASA2	23	37	7976	18.745005875440658	0.9999915122594799	1.0	1.0
GOTERM_BP_DIRECT	GO:0030163~protein catabolic process	2	3.225806451612903	0.09902103360301834	CUL2, TRIM24	49	38	17535	18.834586466165412	0.9999999999771996	1.0	1.0
